"filename", "language", "JSON", "YAML", "Docker", "Ignore", "JavaScript", "Markdown", "Log", "HTML", "XML", "CSS", "comment", "blank", "total"
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\.dockerignore", "Ignore", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 23
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\.vs\VSWorkspaceState.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\Dockerfile", "Docker", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\README.md", "Markdown", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 32, 69
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\debug.log", "Log", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\docker-compose.debug.yml", "YAML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 13
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\docker-compose.yml", "YAML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\jsconfig.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\package-lock.json", "JSON", 14893, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14894
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\package.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\public\css\aos.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\public\css\font-awesome.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 5
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 13, 4, 40
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\public\js\aos.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\public\js\font-awesome.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 5
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\public\js\jquery.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\public\manifest.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 13, 75
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\App.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\account\account.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 7, 37
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\account\account.js", "JavaScript", 0, 0, 0, 0, 272, 0, 0, 0, 0, 0, 0, 58, 330
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\activate\activate.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 3, 20
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\activate\activate.js", "JavaScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 17, 74
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 11, 49
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps.js", "JavaScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 13, 56
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\dashboard\datepickerDashboard.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 6, 29
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\dashboard\datepickerDashboard.js", "JavaScript", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 29, 128
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\dashboard\elements\dashboard-card.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 6, 31
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerAvailability\datepicker-availability.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerAvailability\datepicker-availability.js", "JavaScript", 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 47, 200
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerAvailability\elements\datepicker-date.js", "JavaScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerCreator\datepicker-creator.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerCreator\datepicker-creator.js", "JavaScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 10, 45
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerEditor\datepicker-editor.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerEditor\datepicker-editor.js", "JavaScript", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 14, 62
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerForm\datepicker-form.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerForm\datepicker-form.js", "JavaScript", 0, 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 49, 257
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerStatus\datepicker-status.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerStatus\datepicker-status.js", "JavaScript", 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 41, 171
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerStatus\elements\datepicker-status-date.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 8, 39
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerStatus\elements\datepicker-status-date.js", "JavaScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 11, 63
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\events\elements\event-card.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\events\elements\event-card.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 17, 77
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\events\event\event.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 11, 60
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\events\event\event.js", "JavaScript", 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 0, 54, 250
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\events\events.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\events\events.js", "JavaScript", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 14, 67
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\gallery\gallery.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 5, 12, 94
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\gallery\gallery.js", "JavaScript", 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 2, 65, 267
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\users\elements\user.js", "JavaScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 7, 39
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\users\users.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 8, 43
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\users\users.js", "JavaScript", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 18, 87
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\elements\app.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\dashboard\dashboard.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 6, 26
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\dashboard\dashboard.js", "JavaScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 10, 37
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\dashboard\elements\BottomCard.js", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\dashboard\elements\EventCard.js", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 7, 27
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\forgot-password\forgotPassword.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 4, 19
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\forgot-password\forgotPassword.js", "JavaScript", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 25, 115
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\login\login.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 6, 34
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\login\login.js", "JavaScript", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 19, 89
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\register\register.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\register\register.js", "JavaScript", 0, 0, 0, 0, 275, 0, 0, 0, 0, 0, 0, 58, 333
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\reset-password\reset-password.js", "JavaScript", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 20, 93
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\shared\datepicker\datepicker.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 194, 4, 20, 218
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\shared\empty-folder\empty-folder.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 11
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\shared\empty-folder\empty-folder.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\shared\eventStepEditor\eventStepEditor.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\shared\eventStepEditor\eventStepEditor.js", "JavaScript", 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 25, 110
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\shared\file-dropper\filedropper.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 10, 56
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\shared\file-dropper\filedropper.js", "JavaScript", 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 41, 203
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\shared\gallery-card\gallery-card.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\shared\gallery-card\gallery-card.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\shared\loading\loading.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 5, 41
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\shared\loading\loading.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\shared\menu\Menu.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 10, 77
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\shared\menu\Menu.js", "JavaScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 7, 44
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\index.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\routes\ProtectedRoute.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\routes\Routes.js", "JavaScript", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 5, 49
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\serviceWorker.js", "JavaScript", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 31, 13, 142
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\services\account\account.js", "JavaScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 10, 42
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\services\apps\datepicker\datepicker.js", "JavaScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 11, 46
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\services\apps\events\events.js", "JavaScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\services\apps\gallery\gallery.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\services\jwt.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\services\shared\api\Api.js", "JavaScript", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 15, 90
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\services\shared\api\ApiActions.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 11, 6, 45
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\services\shared\file-dropper\file-dropper.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\services\time-helper\timeHelper.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\services\users\users.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\setupTests.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\tests\Account.test.js", "JavaScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 7, 37
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\tests\Activate.test.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\tests\Login.test.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\tests\apps\datepicker\datepicker-availability.test.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\tests\apps\datepicker\datepicker-form.test.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 7, 32
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\tests\users.test.js", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"Total", "-", 14983, 20, 8, 23, 3228, 37, 4, 23, 10, 852, 80, 1021, 20289